Unique ID,Date Time,Venue,Postal Code,Game Type,Total buy in,Prize Pool,Rake,Prize Pool Ratio,Additional Info
363,2/01/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
364,2/01/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,40,30,10,0.75,No Limit Hold'em
365,2/01/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em
366,2/01/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
367,2/01/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
368,2/02/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
369,2/02/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
370,2/02/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
371,2/02/2023 7:00:00 pm,Hon-Dah Casino,85935,NLO8,40,30,10,0.75,Omaha 8/B
372,2/02/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
373,2/02/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
374,2/03/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
375,2/03/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
376,2/03/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
377,2/04/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,235,200,35,0.851063829787234,No Limit Hold'em Bounty
378,2/04/2023 11:15:00 am,Talking Stick Resort,85256,NLH,345,300,45,0.8695652173913043,Big Stack No Limit Hold'em
379,2/04/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,30,20,10,0.6666666666666666,No Limit Hold'em
380,2/05/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,125,100,25,0.8,No Limit Hold'em Sunday Brunch Tournament
381,2/05/2023 7:00:00 pm,Hon-Dah Casino,85935,NLCRPI,30,20,10,0.6666666666666666,Crazy Pineapple Tournament
382,2/06/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
383,2/06/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
384,2/06/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
385,2/07/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
386,2/07/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
387,2/07/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,55,5,0.9166666666666666,No Limit Hold'em
388,2/07/2023 7:00:00 pm,Hon-Dah Casino,85935,M,40,30,10,0.75,"Mix (Hold'em, Omaha 8, Crazy Pineapple)"
389,2/07/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
390,2/08/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
391,2/08/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
392,2/08/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,40,30,10,0.75,No Limit Hold'em
393,2/08/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em
394,2/08/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
395,2/08/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
396,2/09/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
397,2/09/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
398,2/09/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
399,2/09/2023 7:00:00 pm,Hon-Dah Casino,85935,NLO8,40,30,10,0.75,Omaha 8/B
400,2/09/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
401,2/09/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
402,2/10/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
403,2/10/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
404,2/10/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
405,2/11/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,235,200,35,0.851063829787234,No Limit Hold'em Bounty
406,2/11/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,30,20,10,0.6666666666666666,No Limit Hold'em
407,2/12/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,125,100,25,0.8,No Limit Hold'em Sunday Brunch Tournament
408,2/12/2023 1:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em Bounty
409,2/12/2023 7:00:00 pm,Hon-Dah Casino,85935,NLCRPI,30,20,10,0.6666666666666666,Crazy Pineapple Tournament
410,2/13/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
411,2/13/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
412,2/13/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
413,2/14/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
414,2/14/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
415,2/14/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,55,5,0.9166666666666666,No Limit Hold'em
416,2/14/2023 7:00:00 pm,Hon-Dah Casino,85935,M,40,30,10,0.75,"Mix (Hold'em, Omaha 8, Crazy Pineapple)"
417,2/14/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
418,2/15/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
419,2/15/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
420,2/15/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,40,30,10,0.75,No Limit Hold'em
421,2/15/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em
422,2/15/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
423,2/15/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
424,2/16/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
425,2/16/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
426,2/16/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
427,2/16/2023 7:00:00 pm,Hon-Dah Casino,85935,NLO8,40,30,10,0.75,Omaha 8/B
428,2/16/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
429,2/16/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
430,2/17/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
431,2/17/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
432,2/17/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
433,2/18/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,235,200,35,0.851063829787234,No Limit Hold'em Bounty
434,2/18/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,30,20,10,0.6666666666666666,No Limit Hold'em
435,2/19/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,125,100,25,0.8,No Limit Hold'em Sunday Brunch Tournament
436,2/19/2023 1:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em Bounty
437,2/19/2023 7:00:00 pm,Hon-Dah Casino,85935,NLCRPI,30,20,10,0.6666666666666666,Crazy Pineapple Tournament
438,2/20/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
439,2/20/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
440,2/20/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
441,2/21/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
442,2/21/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
443,2/21/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,55,5,0.9166666666666666,No Limit Hold'em
444,2/21/2023 7:00:00 pm,Hon-Dah Casino,85935,M,40,30,10,0.75,"Mix (Hold'em, Omaha 8, Crazy Pineapple)"
445,2/21/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
446,2/22/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
447,2/22/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
